GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric
DA5BN1A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5QU8A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5731C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5V89C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5731B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5161B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5C12B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5WD7C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5161A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5161C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5136B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5WD7A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5WD7B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5XY2C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5NF3A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5NF3B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5BD7A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5704A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5V89A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5V89B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5748B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5ZM5C,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5ZH2B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5530A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5C19B,bsRxSuff,105,150,DBEA4,DBEA5,False,False
DA5XY2A,bsRxSuff,105,150,DBEA4,DBEA5,False,False
NOSNM33A,bsRxSuff,105,150,DBEA4,CBEA5,False,False
NOCTK21A,bsRxSuff,105,150,DBEA5,CBEA5,False,False
LXRGN10B,bsRxSuff,105,150,DBEA5,CBEA5,False,False
CMMHG27B,bsRxSuff,105,150,DBEA5,CBEA5,False,False
CMNKT79A,bsRxSuff,105,150,DBEA5,DBEA4,False,False
CMNKT39A,bsRxSuff,105,150,DBEA5,DBEA4,False,False
LXRGN41B,bsRxSuff,105,150,DBEA5,CBEA5,False,False
CGPCHD0A,bsRxSuff,105,150,CBEC3,CBEC2,False,False
CGPCHD0B,bsRxSuff,105,150,CBEC3,CBEC2,False,False
DA4YM6B,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA5A8AB,bsRxSuff,105,150,CBEA5,DBEA5,False,False
DA5452B,bsRxSuff,105,150,CBEA5,DBEA5,False,False
DA5C83B,bsRxSuff,105,150,CBEA5,DBEA5,False,False
DA5C83A,bsRxSuff,105,150,CBEA5,DBEA5,False,False
DA5NV9B,bsRxSuff,105,150,CBEA5,DBEA5,False,False
DA5E26B,bsRxSuff,105,150,CBEA5,DBEA5,False,False
DA2523A,bsRxSuff,105,150,CBEA5,DBEA2,False,False
DA2523B,bsRxSuff,105,150,CBEA5,DBEA2,False,False
DA2SG9A,bsRxSuff,105,150,CBEA5,DBEA2,False,False
DA4X61C,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA4072C,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA4072A,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA4777C,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA4V99B,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA4V99C,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA4V99A,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA4W72C,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA4GD7B,bsRxSuff,105,150,CBEA5,DBEA4,False,False
DA5NS7A,bsRxSuff,105,150,CBEA5,DBEA5,False,False
DA5SU4B,bsRxSuff,105,150,CBEA5,DBEA5,False,False
CA4217A,bsRxSuff,105,150,CBEA5,DBEA4,False,False
CGPCHD0A,bsRxSuff,105,150,CBEB3,CBEC2,False,False
CGPCHD0C,bsRxSuff,105,150,CBEB3,CBEC2,False,False
CGMIRF7B,bsTxPwr,80,43,CBEC5,CBEB0,False,False
CGCDG67B,bsTxPwr,42,40,CBEC2,CBEB3,False,False
CC3O52A,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CC3L74A,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CC3L74B,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CC3L74C,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CC3O12A,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CC3O12C,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CC3O52C,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CC3O68C,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CC3B44C,bsTxPwr,42,43,CBEC2,CBEC3,False,False
CC3G60A,bsTxPwr,42,43,CBEC2,CBEC3,False,False
CC3885C,bsTxPwr,42,43,CBEC2,CBEC3,False,False
CC3063C,bsTxPwr,42,43,CBEC2,CBEC3,False,False
CC3B44A,bsTxPwr,42,40,CBEC2,CBEC3,False,False
CGCDG53C,bsTxPwr,42,41,CBEC2,CBEB3,False,False
CGCDG67C,bsTxPwr,42,40,CBEC2,CBEB3,False,False
CGCDG28C,bsTxPwr,42,43,CBEC2,CBEB3,False,False
CGCDG53B,bsTxPwr,42,43,CBEC2,CBEB3,False,False
CGCDG53A,bsTxPwr,42,43,CBEC2,CBEB3,False,False
CGBYZ16B,bsTxPwr,42,43,CBEC2,CBEB3,False,False
CGBYZ78B,bsTxPwr,42,40,CBEC2,CBEB3,False,False
CC0XI7A,bsTxPwr,80,40,CBEC4,CBEC0,False,False
LXRGN10C,bsTxPwr,42,43,DBEA2,CBEA5,False,False
DA5IF4B,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5XY2B,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5704C,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5W39A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5BD7B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5454B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5454A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5136A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5NQ5A,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5IF4A,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5RB6B,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5YK0B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5ZD8B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5QU8B,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5704B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5BN1C,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5YK0C,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5C52B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5C19A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5136C,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5A6TB,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5BN1B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5BN1A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5QU8A,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5731C,bsTxPwr,42,41,DBEA4,DBEA5,False,False
DA5V89C,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5731B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5161B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5C12B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5WD7C,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5161A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5161C,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5136B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5WD7A,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5WD7B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5XY2C,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5NF3A,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5NF3B,bsTxPwr,42,40,DBEA4,DBEA5,False,False
DA5BD7A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5704A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5V89A,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5V89B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5748B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5ZM5C,bsTxPwr,42,43,DBEA4,DBEA5,False,False
DA5ZH2B,bsTxPwr,42,43,DBEA4,DBEA5,False,False
